Row ID,Order ID,Order Date,Year,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Product Name,Total Discount,Average Sales
7981,CA-2011-103800,40547,40547,40551,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Office Supplies,Paper,16.448,2,0.2,5.5512,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",1561.09,229.8580008
741,CA-2011-112326,40548,40548,40552,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,Storage,272.736,3,0.2,-64.7748,SAFCO Boltless Steel Shelving,,
740,CA-2011-112326,40548,40548,40552,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Labels,11.784,3,0.2,4.2717,Avery 508,MAX Sale,MIN Sale
742,CA-2011-112326,40548,40548,40552,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,Binders,3.54,2,0.8,-5.487,GBC Standard Plastic Binding Systems Combs,22638.48,0.444
1760,CA-2011-141817,40549,40549,40556,Standard Class,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,Office Supplies,Art,19.536,3,0.2,4.884,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",,
7475,CA-2011-167199,40550,40550,40554,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,2573.82,9,0,746.4078,Global Deluxe High-Back Manager's Chair,,
7479,CA-2011-167199,40550,40550,40554,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,755.96,4,0,204.1092,Wireless Extenders zBoost YX545 SOHO Signal Booster,,
7476,CA-2011-167199,40550,40550,40554,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-10004632,Office Supplies,Binders,609.98,2,0,274.491,Ibico Hi-Tech Manual Binding System,,
7478,CA-2011-167199,40550,40550,40554,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,391.98,2,0,113.6742,GE 30524EE4,,
7480,CA-2011-167199,40550,40550,40554,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-FA-10001883,Office Supplies,Fasteners,31.12,4,0,0.3112,"Alliance Super-Size Bands, Assorted Sizes",,
5328,CA-2011-130813,40550,40550,40552,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,19.44,3,0,9.3312,Xerox 225,,
7181,CA-2011-106054,40550,40550,40551,First Class,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South,OFF-AR-10002399,Office Supplies,Art,12.78,3,0,5.2398,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",,
7481,CA-2011-167199,40550,40550,40554,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-10000955,Office Supplies,Paper,6.54,1,0,3.0084,Southworth 25% Cotton Granite Paper & Envelopes,,
7477,CA-2011-167199,40550,40550,40554,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-AR-10001662,Office Supplies,Art,5.48,2,0,1.4796,Rogers Handheld Barrel Pencil Sharpener,,
7661,CA-2011-105417,40551,40551,40556,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,76.728,3,0.6,-53.7096,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",,
7662,CA-2011-105417,40551,40551,40556,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,Binders,10.43,7,0.8,-18.2525,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",,
594,CA-2011-135405,40553,40553,40557,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,31.2,3,0.2,9.75,Memorex Micro Travel Drive 8 GB,,
593,CA-2011-135405,40553,40553,40557,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,9.344,2,0.2,1.168,Newell 312,,
867,CA-2011-149020,40554,40554,40559,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,51.94,1,0,21.2954,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",,
866,CA-2011-149020,40554,40554,40559,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Labels,2.89,1,0,1.3583,Avery 482,,
